title,authors,genre,thumbnail,description,average_rating,main_genre
Encyclopedia Brown and the Case of the Slippery Salamander,Donald J. Sobol,juvenile fiction,http://books.google.com/books/content?id=fflvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,encyclopedia brown the super sleuth in sneakers solves ten new mysteries including the case of the slippery salamander the case of the banana burglar and the case of the dead cockroach,4.09,Children
Control Freak,Francine Pascal,juvenile fiction,http://books.google.com/books/content?id=xkUVAfWIpSEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,connor doesnt know what everyones problem is his mom his sister alannanone of them can take care of themselves anymore so hell just have to do it for them whether they like it or not,3.36,Children
Sweet 18,Francine Pascal,juvenile fiction,http://books.google.com/books/content?id=yL8SKAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the twins graduateand say goodbye to svh for good elizabeth cant believe shes finally turning 18 and graduating high school shes been waiting for this moment her entire life she cant wait to say goodbye to the past and start a new life and the best part of it allshe gets to do it with her twin sister but for jessica the only thing worse than turning 18 is turning 18 and graduating the same week what if shes not ready for her entire life to change and what if it means losing her sister,3.51,Children
The Time Travelers,Caroline B. Cooney,juvenile fiction,http://books.google.com/books/content?id=IuRSrP7kBXwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,presents two novels involving fifteenyearold annie lockwood who travels back in time to the year 1895 and finds romance,3.94,Children
Shadows,John Saul,fiction,http://books.google.com/books/content?id=CRxIzZW9DYQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,as one by one the children housed at the academy a clifftop mansion school for gifted children begin to die mysterious deaths josh mccallum a brilliant but lonely boy knows that someone or something evil is to blame reprint,3.92,Fiction
The Road to Yesterday,Lucy Maud Montgomery,juvenile fiction,http://books.google.com/books/content?id=je0KAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a collection of stories set on anne shirleys beloved prince edward island features the tale of the man who is eager to keep his brother out of the clutches of a woman he considers dangerous and then falls for her himself reprint,3.81,Children
Nightmare Asylum,Steve Perry,fiction,http://books.google.com/books/content?id=NiL7r1EwI-sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,wilks billie and bueller the last survivors of an assault on the aliens home planet flee earth and its alien infestation in a usually unmanned military transport in a desperate attempt to stay alive original,3.67,Fiction
A Dark and Hungry God Arises,Stephen R. Donaldson,fiction,http://books.google.com/books/content?id=SQSD-HP1WbEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,in the sequel to the real story and forbidden knowledge a scheme unravels to reveal deeper schemes by the author of the chronicles of thomas covenant reprint,4.08,Fiction
"Sam Walton, Made in America",Sam Walton;John Huey,biography & autobiography,http://books.google.com/books/content?id=5ym_S0pa_L0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,in an account of his rise to the top of the american retail business the reminiscences of the billionaire retailer are combined with interviews with waltons family and friends,4.14,Non-Fiction
It Doesn't Take a Hero,H. Norman Schwarzkopf;Peter Petre,biography & autobiography,http://books.google.com/books/content?id=EdyaQy7AjGoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the memoirs of the commander of the allied forces during the persian gulf war detail general schwarzkopfs life and military service,4.04,Non-Fiction
The Hollow Man,Dan Simmons,fiction,http://books.google.com/books/content?id=N_7bAoVER6AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,after the death of his wife telepath jeremy bremen is inundated with all the thoughts and worries of the people he encounters and he flees across the country to escape,3.44,Fiction
The Hand of Chaos,Margaret Weis,fiction,http://books.google.com/books/content?id=tgh9t46pePYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,henry is generally wellbehaved but he is occasionally arrogant and vain henry is at heart a hard worker but his frequent bouts of illness hinder his work,4.06,Fiction
Magician,Raymond E. Feist,fiction,http://books.google.com/books/content?id=uuuVPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,as a captive slave of the tsurani warlike invaders from another world pug an apprentice sorcerer learns to control his awesome magical powers in order to battle an ancient evil,4.26,Fiction
A Kiss Before Dying,Kate William;Francine Pascal,juvenile fiction,http://books.google.com/books/content?id=dPseUDC8IY8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,jessica and elizabeth both try to end and gang activity surrounding the high school,3.68,Children
Adam's Fall,Sandra Brown,fiction,http://books.google.com/books/content?id=ucGGDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,lilah mason a compassionate dedicated physical therapist is determined to help adam her toughest patient even though he continually challenges her methods and authority but in helping adam win his battle she is gradually losing her heart reprint,3.74,Fiction
I. Asimov,Isaac Asimov,biography & autobiography,http://books.google.com/books/content?id=S4k-DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a selfportrait by the late master of science fiction and popular scientific thought looks back on his life and career discussing his writings religious beliefs friendships and personal relationships and innovative ideas reprint,4.19,Non-Fiction
Happily Ever After,Kate William;Francine Pascal,juvenile fiction,http://books.google.com/books/content?id=21UKAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,in a conclusion to a threepart miniseries elizabeth avoids prince laurent because of his engagement to antonia but the prince breaks off his engagement to declare his love for elizabeth original,3.6,Children
Heaven's Price,Sandra Brown,fiction,http://books.google.com/books/content?id=YBhb0oPyqLAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,when an injury sends broadway dancer blair simpson to a small town for a long convalescence she falls in love with her new landlord an affair she fears may cost her her passion for dance reprint,3.54,Fiction
Vice,Jane Feather,fiction,http://books.google.com/books/content?id=buXRUxtAh5YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,on the run since accidentally killing her elderly groom on their honeymoon juliana considers a shocking proposal by the handsome duke of redmayne in which she would pose as his mistress original,3.51,Fiction
The Rise of Endymion,Dan Simmons,fiction,http://books.google.com/books/content?id=b-iUS4OlDLsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,as a final genocidal crusade threatens to enslave humanity forever aenea a new messiah comes of age and must deliver her startling message to her growing army of disciples but not before embarking on a mission to discover the very meaning of the universe reprint nyt,4.17,Fiction
Brightness Reef,David Brin,fiction,http://books.google.com/books/content?id=l-N0RXekUocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the author of startide rising returns to the setting of his hugo and nebula awardwinning novel to tell the story of the planet jijo home to an illegal colony whose existence is threatened by mysterious visitors reprint pw k,3.9,Fiction
The Martians,Kim Stanley Robinson,fiction,http://books.google.com/books/content?id=7G6gmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a collection of stories tells the tale of the colonists of the red planet and their experiences during its terraformation,3.56,Fiction
Shadows of the Empire,Steve Perry,fiction,http://books.google.com/books/content?id=ZYckM3D_M-UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a novel set during the period between the empire strikes back and return of the jedi follows leias preparations to rescue han solo and lukes flight from both darth vader and an equally powerful dark lord xizor reprint,3.82,Fiction
Ship of Destiny,Robin Hobb,fiction,http://books.google.com/books/content?id=gFQ4r-B9pd0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,chaos stalks the world as the war between bingtown and chalced escalates althea and brashen cope with their blinded liveship and a powerful dragon capable of untold destruction or redemption appears,4.22,Fiction
Floaters,Joseph Wambaugh,fiction,http://books.google.com/books/content?id=Hu_yoIvxkDMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,with the arrival of the americas cup regattas san diego mission bay cops fortney and leeds find their hands full and pursue cup contender blaze who sets off a bizarre criminal trail reprint,3.5,Fiction
Tidings of Great Joy,Sandra Brown,fiction,http://books.google.com/books/content?id=6W60GpT1FTMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a marriage of convenience between architect ria lavender and mayoral candidate taylor mackensiethe result of an unanticipated pregnancybreaks out into a passionate fire at christmas,3.63,Fiction
Send No Flowers,Sandra Brown,fiction,http://books.google.com/books/content?id=NOOfXzOYvIoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the young widow alicia russell is shocked when her lover pierce reynolds suddenly begins to act coldly toward her,3.56,Fiction
The Rana Look,Sandra Brown,fiction,http://books.google.com/books/content?id=Et7QVZ2BnmoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,tired of being treated as a commodity rana ramsey a top fashion model decides to assume a new identity in a small texas town where she meets handsome quarterback trent gamblin,3.5,Fiction
Sunny Chandler's Return,Sandra Brown,fiction,http://books.google.com/books/content?id=c_pvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,on a bet sexy sheriff ty beaumont woos sunny chandler who has returned to her hometown to attend her best friends wedding but unexpectedly finds himself falling in love with the headstrong young woman reprint,3.59,Fiction
